FOSSCONTROL,201404202104,x,x,x
Di cosa si occupa il Consorzio RFX?,rfx-logo128x128.png,Ricerca,Formazione,Entrambi
FOSS cosa significa?,foss.png,FOSS,Gratis,A pagamento
Cos'e' la fusione?,Nuclear_Fusion.jpg,Una integrazione,Una tecnica per ottenere energia,Una ricerca
Linux cos'e'?,linuxdistros.jpg,Un sistema operativo,Un programma,Una web-app
Di cosa si occupa il Consorzio RFX?,rfx-logo128x128.png,Ricerca,Formazione,Entrambi
Il logo di Linux e'...,linux.jpg,Un pinguino,Una volpe,Una fiamma
Cos'e' la fusione?,Nuclear_Fusion.jpg,Una integrazione,Una tecnica per ottenere energia,Una ricerca
Il software gratuito e' open?,tux.png,A volte,Si,No
Il software Open e' sempre gratuito?,foss.png,Spesso,Si,No
